"emoji","name","keywords","category"
"🕚","eleven o’clock","11, 11:00, clock, eleven, o’clock, time","Travel & Places"
"🕦","eleven-thirty","11, 11:30, 30, clock, eleven, eleven-thirty, thirty, time","Travel & Places"
"🌑","new moon","dark, moon, new, space","Travel & Places"
"🌒","waxing crescent moon","crescent, dreams, moon, space, waxing","Travel & Places"
"🌓","first quarter moon","first, moon, quarter, space","Travel & Places"
"🌔","waxing gibbous moon","gibbous, moon, space, waxing","Travel & Places"
"🌕","full moon","full, moon, space","Travel & Places"
"🌖","waning gibbous moon","gibbous, moon, space, waning","Travel & Places"
"🌗","last quarter moon","last, moon, quarter, space","Travel & Places"
"🌘","waning crescent moon","crescent, moon, space, waning","Travel & Places"
"🌙","crescent moon","crescent, moon, ramadan, space","Travel & Places"
"🌚","new moon face","face, moon, new, space","Travel & Places"
"🌛","first quarter moon face","face, first, moon, quarter, space","Travel & Places"
"🌜","last quarter moon face","dreams, face, last, moon, quarter","Travel & Places"
"🌡","thermometer","thermometer, weather","Travel & Places"
"☀","sun","bright, rays, space, sun, sunny, weather","Travel & Places"
"🌝","full moon face","bright, face, full, moon","Travel & Places"
"🌞","sun with face","beach, bright, day, face, heat, shine, sun, sunny, sunshine, weather","Travel & Places"
"🪐","ringed planet","planet, ringed, saturn, saturnine","Travel & Places"
"⭐","star","astronomy, medium, star, stars, white","Travel & Places"
"🌟","glowing star","glittery, glow, glowing, night, shining, sparkle, star, win","Travel & Places"
"🌠","shooting star","falling, night, shooting, space, star","Travel & Places"
"🌌","milky way","milky, space, way","Travel & Places"
"☁","cloud","cloud, weather","Travel & Places"
"⛅","sun behind cloud","behind, cloud, cloudy, sun, weather","Travel & Places"
"⛈","cloud with lightning and rain","cloud, lightning, rain, thunder, thunderstorm","Travel & Places"
"🌤","sun behind small cloud","behind, cloud, sun, weather","Travel & Places"
"🌥","sun behind large cloud","behind, cloud, sun, weather","Travel & Places"
"🌦","sun behind rain cloud","behind, cloud, rain, sun, weather","Travel & Places"
"🌧","cloud with rain","cloud, rain, weather","Travel & Places"
"🌨","cloud with snow","cloud, cold, snow, weather","Travel & Places"
"🌩","cloud with lightning","cloud, lightning, weather","Travel & Places"
"🌪","tornado","cloud, tornado, weather, whirlwind","Travel & Places"
"🌫","fog","cloud, fog, weather","Travel & Places"
"🌬","wind face","blow, cloud, face, wind","Travel & Places"
"🌀","cyclone","cyclone, dizzy, hurricane, twister, typhoon, weather","Travel & Places"
"🌈","rainbow","gay, genderqueer, glbt, glbtq, lesbian, lgbt, lgbtq, lgbtqia, nature, pride, queer, rain, rainbow, trans, transgender, weather","Travel & Places"
"🌂","closed umbrella","closed, clothing, rain, umbrella","Travel & Places"
"☂","umbrella","clothing, rain, umbrella","Travel & Places"
"☔","umbrella with rain drops","clothing, drop, drops, rain, umbrella, weather","Travel & Places"
"⛱","umbrella on ground","ground, rain, sun, umbrella","Travel & Places"
"⚡","high voltage","danger, electric, electricity, high, lightning, nature, thunder, thunderbolt, voltage, zap","Travel & Places"
"❄","snowflake","cold, snow, snowflake, weather","Travel & Places"
"☃","snowman","cold, man, snow, snowman","Travel & Places"
"⛄","snowman without snow","cold, man, snow, snowman","Travel & Places"
"☄","comet","comet, space","Travel & Places"
"🔥","fire","af, burn, fire, flame, hot, lit, litaf, tool","Travel & Places"
"💧","droplet","cold, comic, drop, droplet, nature, sad, sweat, tear, water, weather","Travel & Places"
"🌊","water wave","nature, ocean, surf, surfer, surfing, water, wave","Travel & Places"
"🎃","jack-o-lantern","celebration, halloween, jack, jack-o-lantern, lantern, pumpkin","Activities"
"🎄","Christmas tree","celebration, Christmas, tree","Activities"
"🎆","fireworks","boom, celebration, entertainment, fireworks, yolo","Activities"
"🎇","sparkler","boom, celebration, fireworks, sparkle, sparkler","Activities"
"🧨","firecracker","dynamite, explosive, fire, firecracker, fireworks, light, pop, popping, spark","Activities"
"✨","sparkles","*, magic, sparkle, sparkles, star","Activities"
"🎈","balloon","balloon, birthday, celebrate, celebration","Activities"
"🎉","party popper","awesome, birthday, celebrate, celebration, excited, hooray, party, popper, tada, woohoo","Activities"
"🎊","confetti ball","ball, celebrate, celebration, confetti, party, woohoo","Activities"
"🎋","tanabata tree","banner, celebration, Japanese, tanabata, tree","Activities"
"🎍","pine decoration","bamboo, celebration, decoration, Japanese, pine, plant","Activities"
"🎎","Japanese dolls","celebration, doll, dolls, festival, Japanese","Activities"
"🎏","carp streamer","carp, celebration, streamer","Activities"
"🎐","wind chime","bell, celebration, chime, wind","Activities"
"🎑","moon viewing ceremony","celebration, ceremony, moon, viewing","Activities"
"🧧","red envelope","envelope, gift, good, hóngbāo, lai, luck, money, red, see","Activities"
"🎀","ribbon","celebration, ribbon","Activities"
"🎁","wrapped gift","birthday, bow, box, celebration, christmas, gift, present, surprise, wrapped","Activities"
"🎗","reminder ribbon","celebration, reminder, ribbon","Activities"
"🎟","admission tickets","admission, ticket, tickets","Activities"
"🎫","ticket","admission, stub, ticket","Activities"
"🎖","military medal","award, celebration, medal, military","Activities"
"🏆","trophy","champion, champs, prize, slay, sport, trophy, victory, win, winning","Activities"
"🏅","sports medal","award, gold, medal, sports, winner","Activities"
"🥇","1st place medal","1st, first, gold, medal, place","Activities"
"🥈","2nd place medal","2nd, medal, place, second, silver","Activities"
"🥉","3rd place medal","3rd, bronze, medal, place, third","Activities"
"⚽","soccer ball","ball, football, futbol, soccer, sport","Activities"
"⚾","baseball","ball, baseball, sport","Activities"
"🥎","softball","ball, glove, softball, sports, underarm","Activities"
"🏀","basketball","ball, basketball, hoop, sport","Activities"
"🏐","volleyball","ball, game, volleyball","Activities"
"🏈","american football","american, ball, bowl, football, sport, super","Activities"
"🏉","rugby football","ball, football, rugby, sport","Activities"
"🎾","tennis","ball, racquet, sport, tennis","Activities"
"🥏","flying disc","disc, flying, ultimate","Activities"
"🎳","bowling","ball, bowling, game, sport, strike","Activities"
"🏏","cricket game","ball, bat, cricket, game","Activities"
"🏑","field hockey","ball, field, game, hockey, stick","Activities"
"🏒","ice hockey","game, hockey, ice, puck, stick","Activities"
"🥍","lacrosse","ball, goal, lacrosse, sports, stick","Activities"
"🏓","ping pong","ball, bat, game, paddle, ping, pingpong, pong, table, tennis","Activities"
"🏸","badminton","badminton, birdie, game, racquet, shuttlecock","Activities"
"🥊","boxing glove","boxing, glove","Activities"
"🥋","martial arts uniform","arts, judo, karate, martial, taekwondo, uniform","Activities"
"🥅","goal net","goal, net","Activities"
"⛳","flag in hole","flag, golf, hole, sport","Activities"
"⛸","ice skate","ice, skate, skating","Activities"
"🎣","fishing pole","entertainment, fish, fishing, pole, sport","Activities"
"🤿","diving mask","diving, mask, scuba, snorkeling","Activities"
"🎽","running shirt","athletics, running, sash, shirt","Activities"
"🎿","skis","ski, skis, snow, sport","Activities"
"🛷","sled","luge, sled, sledge, sleigh, snow, toboggan","Activities"
"🥌","curling stone","curling, game, rock, stone","Activities"
"🎯","bullseye","bull, bullseye, dart, direct, entertainment, game, hit, target","Activities"
"🪀","yo-yo","fluctuate, toy, yo-yo","Activities"
"🪁","kite","fly, kite, soar","Activities"
"🔫","water pistol","gun, handgun, pistol, revolver, tool, water, weapon","Activities"
"🎱","pool 8 ball","8, 8ball, ball, billiard, eight, game, pool","Activities"
"🔮","crystal ball","ball, crystal, fairy, fairytale, fantasy, fortune, future, magic, tale, tool","Activities"
"🪄","magic wand","magic, magician, wand, witch, wizard","Activities"
"🎮","video game","controller, entertainment, game, video","Activities"
"🕹","joystick","game, joystick, video, videogame","Activities"
"🎰","slot machine","casino, gamble, gambling, game, machine, slot, slots","Activities"
"🎲","game die","dice, die, entertainment, game","Activities"
"🧩","puzzle piece","clue, interlocking, jigsaw, piece, puzzle","Activities"
"🧸","teddy bear","bear, plaything, plush, stuffed, teddy, toy","Activities"
"🪅","piñata","candy, celebrate, celebration, cinco, de, festive, mayo, party, pinada, pinata, piñata","Activities"
"🪩","mirror ball","ball, dance, disco, glitter, mirror, party","Activities"
"🪆","nesting dolls","babooshka, baboushka, babushka, doll, dolls, matryoshka, nesting, russia","Activities"
"♠","spade suit","card, game, spade, suit","Activities"
"♥","heart suit","card, emotion, game, heart, hearts, suit","Activities"
"♦","diamond suit","card, diamond, game, suit","Activities"
"♣","club suit","card, club, clubs, game, suit","Activities"
"♟","chess pawn","chess, dupe, expendable, pawn","Activities"
"🃏","joker","card, game, joker, wildcard","Activities"
"🀄","mahjong red dragon","dragon, game, mahjong, red","Activities"
"🎴","flower playing cards","card, cards, flower, game, Japanese, playing","Activities"
"🎭","performing arts","actor, actress, art, arts, entertainment, mask, performing, theater, theatre, thespian","Activities"
"🖼","framed picture","art, frame, framed, museum, painting, picture","Activities"
"🎨","artist palette","art, artist, artsy, arty, colorful, creative, entertainment, museum, painter, painting, palette","Activities"
"🧵","thread","needle, sewing, spool, string, thread","Activities"
"🪡","sewing needle","embroidery, needle, sew, sewing, stitches, sutures, tailoring, thread","Activities"
"🧶","yarn","ball, crochet, knit, yarn","Activities"
"🪢","knot","cord, knot, rope, tangled, tie, twine, twist","Activities"
"👓","glasses","clothing, eye, eyeglasses, eyewear, glasses","Objects"
"🕶","sunglasses","dark, eye, eyewear, glasses, sunglasses","Objects"
"🥽","goggles","dive, eye, goggles, protection, scuba, swimming, welding","Objects"
"🥼","lab coat","clothes, coat, doctor, dr, experiment, jacket, lab, scientist, white","Objects"
"🦺","safety vest","emergency, safety, vest","Objects"
"👔","necktie","clothing, employed, necktie, serious, shirt, tie","Objects"
"👕","t-shirt","blue, casual, clothes, clothing, collar, dressed, shirt, shopping, t-shirt, tshirt, weekend","Objects"
"👖","jeans","blue, casual, clothes, clothing, denim, dressed, jeans, pants, shopping, trousers, weekend","Objects"
"🧣","scarf","bundle, cold, neck, scarf, up","Objects"
"🧤","gloves","gloves, hand","Objects"
"🧥","coat","brr, bundle, coat, cold, jacket, up","Objects"
"🧦","socks","socks, stocking","Objects"
"👗","dress","clothes, clothing, dress, dressed, fancy, shopping","Objects"
"👘","kimono","clothing, comfortable, kimono","Objects"
"🥻","sari","clothing, dress, sari","Objects"
"🩱","one-piece swimsuit","bathing, one-piece, suit, swimsuit","Objects"
"🩲","briefs","bathing, briefs, one-piece, suit, swimsuit, underwear","Objects"
"🩳","shorts","bathing, pants, shorts, suit, swimsuit, underwear","Objects"
"👙","bikini","bathing, beach, bikini, clothing, pool, suit, swim","Objects"
"👚","woman’s clothes","blouse, clothes, clothing, collar, dress, dressed, lady, shirt, shopping, woman, woman’s","Objects"
"🪭","folding hand fan","clack, clap, cool, cooling, dance, fan, flirt, flutter, folding, hand, hot, shy","Objects"
"👛","purse","clothes, clothing, coin, dress, fancy, handbag, purse, shopping","Objects"
"👜","handbag","bag, clothes, clothing, dress, handbag, lady, purse, shopping","Objects"
"👝","clutch bag","bag, clothes, clothing, clutch, dress, handbag, pouch, purse","Objects"
"🛍","shopping bags","bag, bags, hotel, shopping","Objects"
"🎒","backpack","backpack, backpacking, bag, bookbag, education, rucksack, satchel, school","Objects"
"🩴","thong sandal","beach, flip, flop, sandal, sandals, shoe, thong, thongs, zōri","Objects"
"👞","man’s shoe","brown, clothes, clothing, feet, foot, kick, man, man’s, shoe, shoes, shopping","Objects"
"👟","running shoe","athletic, clothes, clothing, fast, kick, running, shoe, shoes, shopping, sneaker, tennis","Objects"
"🥾","hiking boot","backpacking, boot, brown, camping, hiking, outdoors, shoe","Objects"
"🥿","flat shoe","ballet, comfy, flat, flats, shoe, slip-on, slipper","Objects"
"👠","high-heeled shoe","clothes, clothing, dress, fashion, heel, heels, high-heeled, shoe, shoes, shopping, stiletto, woman","Objects"
"👡","woman’s sandal","clothing, sandal, shoe, woman, woman’s","Objects"
"🩰","ballet shoes","ballet, dance, shoes","Objects"
"👢","woman’s boot","boot, clothes, clothing, dress, shoe, shoes, shopping, woman, woman’s","Objects"
"🪮","hair pick","Afro, comb, groom, hair, pick","Objects"
"👑","crown","clothing, crown, family, king, medieval, queen, royal, royalty, win","Objects"
"👒","woman’s hat","clothes, clothing, garden, hat, hats, party, woman, woman’s","Objects"
"🎩","top hat","clothes, clothing, fancy, formal, hat, magic, top, tophat","Objects"
"🎓","graduation cap","cap, celebration, clothing, education, graduation, hat, scholar","Objects"
"🧢","billed cap","baseball, bent, billed, cap, dad, hat","Objects"
"🪖","military helmet","army, helmet, military, soldier, war, warrior","Objects"
"⛑","rescue worker’s helmet","aid, cross, face, hat, helmet, rescue, worker’s","Objects"
"📿","prayer beads","beads, clothing, necklace, prayer, religion","Objects"
"💄","lipstick","cosmetics, date, lipstick, makeup","Objects"
"💍","ring","diamond, engaged, engagement, married, ring, romance, shiny, sparkling, wedding","Objects"
"💎","gem stone","diamond, engagement, gem, jewel, money, romance, stone, wedding","Objects"
"🔇","muted speaker","mute, muted, quiet, silent, sound, speaker","Objects"
"🔈","speaker low volume","low, soft, sound, speaker, volume","Objects"
"🔉","speaker medium volume","medium, sound, speaker, volume","Objects"
"🔊","speaker high volume","high, loud, music, sound, speaker, volume","Objects"
"📢","loudspeaker","address, communication, loud, loudspeaker, public, sound","Objects"
"📣","megaphone","cheering, megaphone, sound","Objects"
"📯","postal horn","horn, post, postal","Objects"
"🔔","bell","bell, break, church, sound","Objects"
"🔕","bell with slash","bell, forbidden, mute, no, not, prohibited, quiet, silent, slash, sound","Objects"
"🎼","musical score","music, musical, note, score","Objects"
"🎵","musical note","music, musical, note, sound","Objects"
"🎶","musical notes","music, musical, note, notes, sound","Objects"
"🎙","studio microphone","mic, microphone, music, studio","Objects"
"🎚","level slider","level, music, slider","Objects"
"🎛","control knobs","control, knobs, music","Objects"
"🎤","microphone","karaoke, mic, microphone, music, sing, sound","Objects"
"🎧","headphone","earbud, headphone, sound","Objects"
"📻","radio","entertainment, radio, tbt, video","Objects"
"🎷","saxophone","instrument, music, sax, saxophone","Objects"
"🪗","accordion","accordion, box, concertina, instrument, music, squeeze, squeezebox","Objects"
"🎸","guitar","guitar, instrument, music, strat","Objects"
"🎹","musical keyboard","instrument, keyboard, music, musical, piano","Objects"
"🎺","trumpet","instrument, music, trumpet","Objects"
"🎻","violin","instrument, music, violin","Objects"
"🪕","banjo","banjo, music, stringed","Objects"
"🥁","drum","drum, drumsticks, music","Objects"
"🪘","long drum","beat, conga, drum, instrument, long, rhythm","Objects"
"🪇","maracas","cha, dance, instrument, maracas, music, party, percussion, rattle, shake, shaker","Objects"
"🪈","flute","band, fife, flautist, flute, instrument, marching, music, orchestra, piccolo, pipe, recorder, woodwind","Objects"
"🪉","harp","cupid, harp, instrument, love, music, orchestra","Objects"
"📱","mobile phone","cell, communication, mobile, phone, telephone","Objects"
"📲","mobile phone with arrow","arrow, build, call, cell, communication, mobile, phone, receive, telephone","Objects"
"☎","telephone","phone, telephone","Objects"
"📞","telephone receiver","communication, phone, receiver, telephone, voip","Objects"
"📟","pager","communication, pager","Objects"
"📠","fax machine","communication, fax, machine","Objects"
"🔋","battery","battery","Objects"
"🪫","low battery","battery, drained, electronic, energy, low, power","Objects"
"🔌","electric plug","electric, electricity, plug","Objects"
"💻","laptop","computer, laptop, office, pc, personal","Objects"
"🖥","desktop computer","computer, desktop, monitor","Objects"
"🖨","printer","computer, printer","Objects"
"⌨","keyboard","computer, keyboard","Objects"
"🖱","computer mouse","computer, mouse","Objects"
"🖲","trackball","computer, trackball","Objects"
"💽","computer disk","computer, disk, minidisk, optical","Objects"
"💾","floppy disk","computer, disk, floppy","Objects"
"💿","optical disk","blu-ray, CD, computer, disk, dvd, optical","Objects"
"📀","dvd","Blu-ray, cd, computer, disk, DVD, optical","Objects"
"🧮","abacus","abacus, calculation, calculator","Objects"
"🎥","movie camera","bollywood, camera, cinema, film, hollywood, movie, record","Objects"
"🎞","film frames","cinema, film, frames, movie","Objects"
"📽","film projector","cinema, film, movie, projector, video","Objects"
"🎬","clapper board","action, board, clapper, movie","Objects"
"📺","television","television, tv, video","Objects"
"📷","camera","camera, photo, selfie, snap, tbt, trip, video","Objects"
"📸","camera with flash","camera, flash, video","Objects"
"📹","video camera","camcorder, camera, tbt, video","Objects"
"📼","videocassette","old, school, tape, vcr, vhs, video, videocassette","Objects"
"🔍","magnifying glass tilted left","glass, lab, left, left-pointing, magnifying, science, search, tilted, tool","Objects"
"🔎","magnifying glass tilted right","contact, glass, lab, magnifying, right, right-pointing, science, search, tilted, tool","Objects"
"🕯","candle","candle, light","Objects"
"💡","light bulb","bulb, comic, electric, idea, light","Objects"
"🔦","flashlight","electric, flashlight, light, tool, torch","Objects"
"🏮","red paper lantern","bar, lantern, light, paper, red, restaurant","Objects"
"🪔","diya lamp","diya, lamp, light, oil","Objects"
"📔","notebook with decorative cover","book, cover, decorated, decorative, education, notebook, school, writing","Objects"
"📕","closed book","book, closed, education","Objects"
"📖","open book","book, education, fantasy, knowledge, library, novels, open, reading","Objects"
"📗","green book","book, education, fantasy, green, library, reading","Objects"
"📘","blue book","blue, book, education, fantasy, library, reading","Objects"
"📙","orange book","book, education, fantasy, library, orange, reading","Objects"
"📚","books","book, books, education, fantasy, knowledge, library, novels, reading, school, study","Objects"
"📓","notebook","notebook","Objects"
"📒","ledger","ledger, notebook","Objects"
"📃","page with curl","curl, document, page, paper","Objects"
"📜","scroll","paper, scroll","Objects"
"📄","page facing up","document, facing, page, paper, up","Objects"
"📰","newspaper","communication, news, newspaper, paper","Objects"
"🗞","rolled-up newspaper","news, newspaper, paper, rolled, rolled-up","Objects"
"📑","bookmark tabs","bookmark, mark, marker, tabs","Objects"
"🔖","bookmark","bookmark, mark","Objects"
"🏷","label","label, tag","Objects"
"💰","money bag","bag, bank, bet, billion, cash, cost, dollar, gold, million, money, moneybag, paid, paying, pot, rich, win","Objects"
"🪙","coin","coin, dollar, euro, gold, metal, money, rich, silver, treasure","Objects"
"💴","yen banknote","bank, banknote, bill, currency, money, note, yen","Objects"
"💵","dollar banknote","bank, banknote, bill, currency, dollar, money, note","Objects"
"💶","euro banknote","100, bank, banknote, bill, currency, euro, money, note, rich","Objects"
"💷","pound banknote","bank, banknote, bill, billion, cash, currency, money, note, pound, pounds","Objects"
"💸","money with wings","bank, banknote, bill, billion, cash, dollar, fly, million, money, note, pay, wings","Objects"
"💳","credit card","bank, card, cash, charge, credit, money, pay","Objects"
"🧾","receipt","accounting, bookkeeping, evidence, invoice, proof, receipt","Objects"
"💹","chart increasing with yen","bank, chart, currency, graph, growth, increasing, market, money, rise, trend, upward, yen","Objects"
"✉","envelope","e-mail, email, envelope, letter","Objects"
"📧","e-mail","e-mail, email, letter, mail","Objects"
"📨","incoming envelope","delivering, e-mail, email, envelope, incoming, letter, mail, receive, sent","Objects"
"📩","envelope with arrow","arrow, communication, down, e-mail, email, envelope, letter, mail, outgoing, send, sent","Objects"
"📤","outbox tray","box, email, letter, mail, outbox, sent, tray","Objects"
"📥","inbox tray","box, email, inbox, letter, mail, receive, tray, zero","Objects"
"📦","package","box, communication, delivery, package, parcel, shipping","Objects"
"📫","closed mailbox with raised flag","closed, communication, flag, mail, mailbox, postbox, raised","Objects"
"📪","closed mailbox with lowered flag","closed, flag, lowered, mail, mailbox, postbox","Objects"
"📬","open mailbox with raised flag","flag, mail, mailbox, open, postbox, raised","Objects"
"📭","open mailbox with lowered flag","flag, lowered, mail, mailbox, open, postbox","Objects"
"📮","postbox","mail, mailbox, postbox","Objects"
"🗳","ballot box with ballot","ballot, box","Objects"
"✏","pencil","pencil","Objects"
"✒","black nib","black, nib, pen","Objects"
"🖋","fountain pen","fountain, pen","Objects"
"🖊","pen","ballpoint, pen","Objects"
"🖌","paintbrush","paintbrush, painting","Objects"
"🖍","crayon","crayon","Objects"
"📝","memo","communication, media, memo, notes, pencil","Objects"
"💼","briefcase","briefcase, office","Objects"
"📁","file folder","file, folder","Objects"
"📂","open file folder","file, folder, open","Objects"
"🗂","card index dividers","card, dividers, index","Objects"
"📅","calendar","calendar, date","Objects"
"📆","tear-off calendar","calendar, tear-off","Objects"
"🗒","spiral notepad","note, notepad, pad, spiral","Objects"
"🗓","spiral calendar","calendar, pad, spiral","Objects"
"📇","card index","card, index, old, rolodex, school","Objects"
"📈","chart increasing","chart, data, graph, growth, increasing, right, trend, up, upward","Objects"
"📉","chart decreasing","chart, data, decreasing, down, downward, graph, negative, trend","Objects"
"📊","bar chart","bar, chart, data, graph","Objects"
"📋","clipboard","clipboard, do, list, notes","Objects"
"📌","pushpin","collage, pin, pushpin","Objects"
"📍","round pushpin","location, map, pin, pushpin, round","Objects"
"📎","paperclip","paperclip","Objects"
"🖇","linked paperclips","link, linked, paperclip, paperclips","Objects"
"📏","straight ruler","angle, edge, math, ruler, straight, straightedge","Objects"
"📐","triangular ruler","angle, math, rule, ruler, set, slide, triangle, triangular","Objects"
"✂","scissors","cut, cutting, paper, scissors, tool","Objects"
"🗃","card file box","box, card, file","Objects"
"🗄","file cabinet","cabinet, file, filing, paper","Objects"
"🗑","wastebasket","can, garbage, trash, waste, wastebasket","Objects"
"🔒","locked","closed, lock, locked, private","Objects"
"🔓","unlocked","cracked, lock, open, unlock, unlocked","Objects"
"🔏","locked with pen","ink, lock, locked, nib, pen, privacy","Objects"
"🔐","locked with key","bike, closed, key, lock, locked, secure","Objects"
"🔑","key","key, keys, lock, major, password, unlock","Objects"
"🗝","old key","clue, key, lock, old","Objects"
"🔨","hammer","hammer, home, improvement, repairs, tool","Objects"
"🪓","axe","ax, axe, chop, hatchet, split, wood","Objects"
"⛏","pick","hammer, mining, pick, tool","Objects"
"⚒","hammer and pick","hammer, pick, tool","Objects"
"🛠","hammer and wrench","hammer, spanner, tool, wrench","Objects"
"🗡","dagger","dagger, knife, weapon","Objects"
"⚔","crossed swords","crossed, swords, weapon","Objects"
"💣","bomb","bomb, boom, comic, dangerous, explosion, hot","Objects"
"🪃","boomerang","boomerang, rebound, repercussion, weapon","Objects"
"🏹","bow and arrow","archer, archery, arrow, bow, Sagittarius, tool, weapon, zodiac","Objects"
"🛡","shield","shield, weapon","Objects"
"🪚","carpentry saw","carpenter, carpentry, cut, lumber, saw, tool, trim","Objects"
"🔧","wrench","home, improvement, spanner, tool, wrench","Objects"
"🪛","screwdriver","flathead, handy, screw, screwdriver, tool","Objects"
"🔩","nut and bolt","bolt, home, improvement, nut, tool","Objects"
"⚙","gear","cog, cogwheel, gear, tool","Objects"
"🗜","clamp","clamp, compress, tool, vice","Objects"
"⚖","balance scale","balance, justice, Libra, scale, scales, tool, weight, zodiac","Objects"
"🦯","white cane","accessibility, blind, cane, probing, white","Objects"
"🔗","link","link, links","Objects"
"⛓‍💥","broken chain","break, breaking, broken, chain, cuffs, freedom","Objects"
"⛓","chains","chain, chains","Objects"
"🪝","hook","catch, crook, curve, ensnare, hook, point, selling","Objects"
"🧰","toolbox","box, chest, mechanic, red, tool, toolbox","Objects"
"🧲","magnet","attraction, horseshoe, magnet, magnetic, negative, positive, shape, u","Objects"
"🪜","ladder","climb, ladder, rung, step","Objects"
"🪏","shovel","bury, dig, garden, hole, plant, scoop, shovel, snow, spade","Objects"
"⚗","alembic","alembic, chemistry, tool","Objects"
"🧪","test tube","chemist, chemistry, experiment, lab, science, test, tube","Objects"
"🧫","petri dish","bacteria, biologist, biology, culture, dish, lab, petri","Objects"
"🧬","dna","biologist, dna, evolution, gene, genetics, life","Objects"
"🔬","microscope","experiment, lab, microscope, science, tool","Objects"
"🔭","telescope","contact, extraterrestrial, science, telescope, tool","Objects"
"📡","satellite antenna","aliens, antenna, contact, dish, satellite, science","Objects"
"💉","syringe","doctor, flu, medicine, needle, shot, sick, syringe, tool, vaccination","Objects"
"🩸","drop of blood","bleed, blood, donation, drop, injury, medicine, menstruation","Objects"
"💊","pill","doctor, drugs, medicated, medicine, pill, pills, sick, vitamin","Objects"
"🩹","adhesive bandage","adhesive, bandage","Objects"
"🩼","crutch","aid, cane, crutch, disability, help, hurt, injured, mobility, stick","Objects"
"🩺","stethoscope","doctor, heart, medicine, stethoscope","Objects"
"🩻","x-ray","bones, doctor, medical, skeleton, skull, x-ray, xray","Objects"
"🚪","door","back, closet, door, front","Objects"
"🛗","elevator","accessibility, elevator, hoist, lift","Objects"
"🪞","mirror","makeup, mirror, reflection, reflector, speculum","Objects"
"🪟","window","air, frame, fresh, opening, transparent, view, window","Objects"
"🛏","bed","bed, hotel, sleep","Objects"
"🛋","couch and lamp","couch, hotel, lamp","Objects"
"🪑","chair","chair, seat, sit","Objects"
"🚽","toilet","bathroom, toilet","Objects"
"🪠","plunger","cup, force, plumber, plunger, poop, suction, toilet","Objects"
"🚿","shower","shower, water","Objects"
"🛁","bathtub","bath, bathtub","Objects"
"🪤","mouse trap","bait, cheese, lure, mouse, mousetrap, snare, trap","Objects"
"🪒","razor","razor, sharp, shave","Objects"
"🧴","lotion bottle","bottle, lotion, moisturizer, shampoo, sunscreen","Objects"
"🧷","safety pin","diaper, pin, punk, rock, safety","Objects"
"🧹","broom","broom, cleaning, sweeping, witch","Objects"
"🧺","basket","basket, farming, laundry, picnic","Objects"
"🧻","roll of paper","paper, roll, toilet, towels","Objects"
"🪣","bucket","bucket, cask, pail, vat","Objects"
"🧼","soap","bar, bathing, clean, cleaning, lather, soap, soapdish","Objects"
"🫧","bubbles","bubble, bubbles, burp, clean, floating, pearl, soap, underwater","Objects"
"🪥","toothbrush","bathroom, brush, clean, dental, hygiene, teeth, toiletry, toothbrush","Objects"
"🧽","sponge","absorbing, cleaning, porous, soak, sponge","Objects"
"🧯","fire extinguisher","extinguish, extinguisher, fire, quench","Objects"
"🛒","shopping cart","cart, shopping, trolley","Objects"
"🚬","cigarette","cigarette, smoking","Objects"
"⚰","coffin","coffin, dead, death, vampire","Objects"
"🪦","headstone","cemetery, dead, grave, graveyard, headstone, memorial, rip, tomb, tombstone","Objects"
"⚱","funeral urn","ashes, death, funeral, urn","Objects"
"🧿","nazar amulet","amulet, bead, blue, charm, evil-eye, nazar, talisman","Objects"
"🪬","hamsa","amulet, Fatima, fortune, guide, hamsa, hand, Mary, Miriam, palm, protect, protection","Objects"
"🗿","moai","face, moai, moyai, statue, stoneface, travel","Objects"
"🪧","placard","card, demonstration, notice, picket, placard, plaque, protest, sign","Objects"
"🪪","identification card","card, credentials, document, ID, identification, license, security","Objects"
"🏧","ATM sign","ATM, automated, bank, cash, money, sign, teller","Symbols"
"🚮","litter in bin sign","bin, litter, litterbin, sign","Symbols"
"🚰","potable water","drinking, potable, water","Symbols"
"♿","wheelchair symbol","access, handicap, symbol, wheelchair","Symbols"
"🚹","men’s room","bathroom, lavatory, man, men’s, restroom, room, toilet, WC","Symbols"
"🚺","women’s room","bathroom, lavatory, restroom, room, toilet, WC, woman, women’s","Symbols"
"🚻","restroom","bathroom, lavatory, restroom, toilet, WC","Symbols"
"🚼","baby symbol","baby, changing, symbol","Symbols"
"🚾","water closet","bathroom, closet, lavatory, restroom, toilet, water, WC","Symbols"
"🛂","passport control","control, passport","Symbols"
"🛃","customs","customs, packing","Symbols"
"🛄","baggage claim","arrived, baggage, bags, case, checked, claim, journey, packing, plane, ready, travel, trip","Symbols"
"🛅","left luggage","baggage, case, left, locker, luggage","Symbols"
"⚠","warning","caution, warning","Symbols"
"🚸","children crossing","child, children, crossing, pedestrian, traffic","Symbols"
"⛔","no entry","do, entry, fail, forbidden, no, not, pass, prohibited, traffic","Symbols"
"🚫","prohibited","entry, forbidden, no, not, prohibited, smoke","Symbols"
"🚳","no bicycles","bicycle, bicycles, bike, forbidden, no, not, prohibited","Symbols"
"🚭","no smoking","forbidden, no, not, prohibited, smoke, smoking","Symbols"
"🚯","no littering","forbidden, litter, littering, no, not, prohibited","Symbols"
"🚱","non-potable water","dry, non-drinking, non-potable, prohibited, water","Symbols"
